business_id,stars,review_count,is_open,categories_counts,user_count,star_avg,star_std,contents_score_avg,useful_avg,funny_avg,cool_avg,memory_score,average_hue,average_saturation,average_value,sharpness_measure,person_count_x,beauty_score,person_total_count_x,food,drink,menu,inside,outside,var,person_exist,person_percentage,person_total_count_y,person_count_y,review_group
MTSW4McQd7CbVtyjqoe9mw,4.0,80,1,5,80,4.057471264367816,1.113932086768356,0.6957229885057472,1.505747126436782,0.5402298850574713,1.091954022988506,0.8774285714285714,-0.1541562689775157,-0.4169475188381808,0.9000917037377776,0.09785566155093937,0.8571428571428571,4.865151428571429,2.714285714285714,0.857,0.0,0.0,0.0,0.143,0.476,1,0.5714285714285714,2.714,0.857,low
aPNXGTDkf-4bjhyMBQxqpQ,3.5,65,1,8,65,3.454545454545455,1.510800278831548,0.6263272727272727,2.53030303030303,0.5454545454545454,1.212121212121212,0.7635000000000001,-0.7961654621676835,0.372397008243279,-0.2982960435801102,2.277508521765696,2.75,5.3672825,6.0,0.5,0.0,0.0,0.5,0.0,0.517,1,0.75,6.0,2.75,low
JX4tUpd09YFchLBuI43lGw,4.0,12,1,9,12,4.0,0.8164965809277263,0.8347923076923078,3.0,0.9230769230769232,1.153846153846154,0.6683333333333333,1.768289763079901,0.02254368831000929,-0.9271727220246233,-0.3703381883118352,5.333333333333333,5.1278,9.333333333333334,0.333,0.0,0.0,0.667,0.0,0.926,1,0.3333333333333333,9.333,5.333,low
txyXRytGjwOXvS8s4sc-WA,3.0,29,1,5,29,3.1,1.668160250302607,0.32776,0.8,0.5,0.4666666666666667,0.827,0.1206868752197938,-1.439302940885141,0.7913509933360823,-1.086563196542861,1.0,5.43324,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,2.0,1.0,low
seKihQKpGGnCeLuELRQPSQ,3.5,257,1,6,257,3.333333333333333,1.508341120835394,0.5773737037037037,0.6962962962962963,0.3222222222222222,0.2777777777777778,0.7652647058823528,-0.9226011011401578,1.203817808209152,-0.2555488510739105,0.3454358330675882,0.7941176470588235,5.421402941176471,5.382352941176471,0.441,0.353,0.0,0.088,0.118,0.909,1,0.2352941176470588,5.382,0.794,high
aCDY7vXYMs54EbYuQScsnQ,4.5,25,1,8,25,4.32,1.107549848389077,0.85242,1.44,0.04,0.44,0.6935,0.6828940222284261,0.3395926914865247,-0.4965891103558482,1.769779036560863,1.75,5.24342,7.5,0.25,0.0,0.0,0.25,0.5,0.583,1,0.75,7.5,1.75,low
pJfh3Ct8iL58NZa8ta-a5w,4.5,95,1,9,95,4.505050505050505,1.013920833500765,0.841638383838384,0.9393939393939394,0.2424242424242424,0.696969696969697,0.74675,-0.6334131127215363,0.3910952528792927,0.1717237103839239,-0.0853413236119886,2.75,5.142742500000001,8.0,0.75,0.0,0.0,0.25,0.0,0.762,1,0.25,8.0,2.75,low
IDtLPgUrqorrpqSLdfMhZQ,4.0,389,1,7,389,4.216957605985037,1.149048180320675,0.7806426433915211,1.00997506234414,0.3216957605985037,0.6683291770573566,0.7597727272727273,-0.01292623099023101,-0.3431176432752924,0.2282390086415157,-0.1438980082479734,0.9772727272727273,5.253903863636364,6.886363636363637,0.705,0.045,0.0,0.227,0.023,0.801,1,0.4090909090909091,6.886,0.977,high
YNjyv0gfOr2g8lbmUpTnKg,4.5,350,1,8,350,4.335211267605634,1.143774427549252,0.8297298591549296,0.6957746478873239,0.152112676056338,0.447887323943662,0.7714666666666667,-0.09443944637370141,-0.1784910011617859,0.02064451806865059,0.5758671831605712,0.2666666666666667,4.991773333333333,6.333333333333333,0.4,0.267,0.0,0.267,0.067,0.893,1,0.2666666666666667,6.333,0.267,high
oaboaRBUgGjbo2kfUIKDLQ,4.5,593,1,5,593,4.367720465890183,0.9217137815307864,0.7579777038269551,0.9367720465890182,0.5324459234608985,0.8053244592346089,0.7583636363636365,0.1544122884393629,0.1170604055962041,-0.7536230527344169,0.6507536327239535,2.636363636363636,4.980053636363636,4.454545454545454,0.364,0.0,0.0,0.364,0.273,0.494,1,0.8181818181818182,4.455,2.636,high
VrGxoSNZfSiT-G4OqRRGIw,4.0,73,1,6,73,4.039473684210527,1.290382780146358,0.7645342105263159,0.618421052631579,0.1184210526315789,0.2105263157894736,0.7276666666666666,-0.1900743390186102,0.4752767948440993,-1.411458583853826,-0.6243329497393183,2.0,4.600293333333333,7.0,0.0,0.0,0.0,0.667,0.333,1.0,1,0.3333333333333333,7.0,2.0,low
SZU9c8V2GuREDN5KgyHFJw,4.0,2404,1,9,2404,3.911620294599018,1.231479245154281,0.7174320376432078,0.8273322422258592,0.3518821603927987,0.5507364975450082,0.7226434782608696,0.4177964108018428,-0.2213701764827255,0.269896552379939,-0.3875278855628569,1.869565217391304,5.022006173913043,5.71304347826087,0.591,0.035,0.0,0.104,0.27,0.759,1,0.4434782608695652,5.713,1.87,high
X_E7U2lVNEwbH_gpOBmAHQ,4.0,182,1,4,182,4.136612021857924,1.221566053625904,0.7592338797814208,0.6065573770491803,0.1147540983606557,0.3497267759562841,0.64,1.073061289486834,1.529101418618732,-1.079096002050652,-0.2837353616725126,4.25,4.896825,10.25,0.0,0.0,0.0,1.0,0.0,0.535,1,0.75,10.25,4.25,high
3S9GYtMOYhbZl4MMPOHT0Q,4.5,34,1,4,34,4.714285714285714,0.8250286473253903,0.8219085714285713,0.4,0.1428571428571428,0.2,0.866,-0.3717760705333115,-0.5084682901226121,0.9378582172224142,-1.035960235491894,0.0,5.06066,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,3.0,0.0,low
2dlQX5sP9X6Dlm1MmNOlSw,4.0,105,1,2,105,3.980952380952381,1.263244847916486,0.7023609523809524,1.580952380952381,0.4476190476190476,0.3809523809523809,0.613,-0.9888125480496769,0.04304905232846659,0.2459636563600288,-0.6653610082843037,3.0,4.62955,5.0,0.0,0.0,0.0,1.0,0.0,0.2,1,1.0,5.0,3.0,low
Ucl9Vo5lwrUmYbV8Dv8X5g,4.0,108,1,7,108,3.791304347826087,1.307841748125065,0.7482330434782609,1.182608695652174,0.3217391304347826,0.6956521739130435,0.7224999999999999,-0.681565027302917,-0.5403248683049341,-1.270482926133142,-0.1997462892884106,5.0,5.02102,6.5,0.0,0.0,0.0,1.0,0.0,0.75,1,1.0,6.5,5.0,low
Y6heWJJ9AmEL58fZwgi9YQ,4.0,58,1,6,58,3.935483870967742,1.4127170396657,0.6421048387096774,0.5806451612903226,0.064516129032258,0.3387096774193548,0.8304615384615384,-1.032125970288988,0.3967754973952251,0.558109097073064,-0.4122694305440463,0.0,5.549008461538461,2.230769230769231,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,2.231,0.0,low
bTve2mwLk5Zc01vRKqc2KQ,4.5,183,1,6,183,4.484210526315789,0.852796928316942,0.8420236842105262,0.9157894736842104,0.2578947368421053,0.4526315789473684,0.7005,-0.8272963795371264,0.9065676487726498,-0.6392985182150566,8.15359994280599,1.5,5.48241,3.5,0.0,0.0,0.0,1.0,0.0,0.417,1,1.0,3.5,1.5,high
uDQgmudYDKiB6n4vwbEeDg,4.5,112,1,6,112,4.433628318584071,1.156318868178316,0.8153212389380532,1.088495575221239,0.5309734513274337,0.3539823008849557,0.7805,-0.3284921786132346,0.7787370169339212,0.4113892781401771,-0.4756754111044021,0.25,5.242225,3.125,0.625,0.375,0.0,0.0,0.0,0.929,1,0.125,3.125,0.25,low
VVvUBlc_WIEb8obKGq39dA,4.5,39,1,5,39,4.384615384615385,0.8465218191419527,0.7571794871794871,0.3333333333333333,0.1025641025641025,0.2051282051282051,0.871,-0.4954495553247267,0.1314630783517869,-0.6903955823116115,-0.8972132845658495,4.0,5.055,13.0,0.0,1.0,0.0,0.0,0.0,0.385,1,1.0,13.0,4.0,low
_T0cPZE2ZJOTTlYYKMP64Q,4.5,66,1,7,66,4.272727272727272,0.9371881765801776,0.7358484848484848,1.409090909090909,0.2727272727272727,0.5757575757575758,0.91,-1.185685383369236,1.920297331349504,1.640311225515741,2.357876683683958,0.0,4.87718,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,1.0,0.0,low
rZw9O5lJ36m_mXeRKE4G9A,4.5,29,1,8,29,4.586206896551724,1.018305363242226,0.8483724137931034,0.3793103448275862,0.0344827586206896,0.0344827586206896,0.7508571428571429,-0.7680231531465799,-1.004777044120383,-0.03923990914004228,-0.2945209206387767,0.0,5.347718571428572,5.285714285714286,0.571,0.286,0.0,0.143,0.0,1.0,0,0.0,5.286,0.0,low
1E9o1SNo7UTf1XHTFPv1_Q,4.5,66,1,7,66,4.626865671641791,0.7351730551893454,0.881155223880597,0.8507462686567164,0.2537313432835821,0.7313432835820896,0.79,0.2801850119040268,-0.754714460039349,0.621083893874862,-0.4120640918657448,1.666666666666667,5.030803333333334,2.333333333333333,0.0,0.333,0.0,0.667,0.0,0.778,1,0.6666666666666666,2.333,1.667,low
f82dhKNiUXsDVPMLqKYiIQ,4.0,446,1,11,446,4.086134453781512,1.213492989934826,0.7059981092436974,1.065126050420168,0.3067226890756303,0.4012605042016807,0.8019090909090909,-1.095971371674317,0.2306836595713485,0.06908119185333907,0.1591388229255894,1.818181818181818,4.901603636363636,6.181818181818182,0.455,0.0,0.091,0.364,0.091,0.781,1,0.3636363636363636,6.182,1.818,high
xJyp6RLqNRv3tSu6njPKxQ,3.0,208,1,5,208,3.162790697674418,1.436022423192989,0.5444279069767441,1.316279069767442,0.2790697674418604,0.2837209302325581,0.7844285714285714,0.065564688004888,-0.09572040549321696,-0.7027693694632252,-0.5334822088764952,1.0,5.394595714285714,5.714285714285714,0.429,0.429,0.0,0.143,0.0,0.725,1,0.4285714285714285,5.714,1.0,high
JwBTq6IOFH97b9Hr6RT7pw,3.0,5,1,5,5,3.2,1.643167672515498,0.4869199999999999,2.0,1.2,2.4,0.533,0.7931714887245209,-2.262590646536061,0.4467960361421444,1.501413599786061,0.0,4.73645,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,3.0,0.0,low
vFJIK-z3QWs-3XNjs1hcZQ,4.0,31,1,7,31,3.903225806451613,1.325514710334,0.8413225806451613,2.935483870967742,1.0,1.67741935483871,0.6296666666666667,0.4855376255358796,-1.509441377554129,-0.5577207768361064,0.5751305790537825,2.666666666666667,5.033796666666666,11.0,0.0,0.0,0.0,1.0,0.0,0.806,1,0.6666666666666666,11.0,2.667,low
